                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7448,                 6.3844,                 1.5162,                0.69005,                0.37836,                0.44041,                0.31711,                 1.3343,                 4.0865,                 1.4339,             0.00024157,             0.00024157,             0.00024157
                      2,                 1.3564,                 1.7797,                 1.2835,                 0.4323,                 0.6576,                0.55939,                 0.3612,                 1.3196,                 2.7949,                 1.3848,             0.00048174,             0.00048174,             0.00048174
                      3,                 1.3102,                  1.287,                 1.2592,                0.66215,                0.59741,                0.59673,                0.39642,                 1.2906,                  1.359,                 1.4083,             0.00071201,             0.00071201,             0.00071201
                      4,                 1.2824,                 1.1331,                 1.2461,                0.65591,                0.72937,                0.66887,                0.42561,                  1.341,                 1.3935,                 1.5284,             0.00078352,             0.00078352,             0.00078352
                      5,                 1.1975,                0.94792,                 1.2314,                0.71601,                 0.7337,                0.70492,                0.46789,                 1.2513,                 1.0971,                 1.4034,             0.00078352,             0.00078352,             0.00078352
                      6,                 1.2283,                  0.949,                 1.2359,                0.70322,                0.66519,                0.69357,                0.46131,                  1.292,                0.95058,                 1.4007,             0.00076703,             0.00076703,             0.00076703
                      7,                 1.1776,                0.87354,                 1.2085,                0.88654,                0.65073,                0.67208,                0.45297,                 1.2788,                0.95257,                 1.4561,             0.00075053,             0.00075053,             0.00075053
                      8,                 1.1361,                0.82553,                 1.2029,                0.83587,                0.61203,                0.65637,                0.43031,                 1.2543,                 1.0191,                 1.4135,             0.00073404,             0.00073404,             0.00073404
                      9,                 1.1158,                0.78424,                 1.1888,                0.89693,                 0.6661,                0.67556,                0.45291,                 1.2315,                 0.9456,                 1.3954,             0.00071755,             0.00071755,             0.00071755
                     10,                 1.0912,                0.74048,                  1.172,                0.93144,                0.68165,                0.75601,                0.50647,                 1.2069,                0.85187,                 1.4022,             0.00070105,             0.00070105,             0.00070105
                     11,                 1.0463,                0.70184,                 1.1382,                0.89284,                0.68246,                0.71171,                0.51904,                 1.1744,                0.79313,                 1.3591,             0.00068456,             0.00068456,             0.00068456
                     12,                 1.0566,                0.70714,                 1.1376,                0.91743,                0.67715,                0.70161,                0.51587,                 1.1851,                0.76866,                 1.3579,             0.00066807,             0.00066807,             0.00066807
                     13,                 1.0573,                0.69263,                 1.1286,                0.92795,                 0.7071,                 0.7233,                0.51359,                 1.2121,                0.76797,                 1.4123,             0.00065157,             0.00065157,             0.00065157
                     14,                  1.046,                0.66901,                 1.1334,                0.91378,                0.68631,                0.76632,                0.56423,                 1.2456,                0.71628,                 1.4379,             0.00063508,             0.00063508,             0.00063508
