                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82786,                 0.5421,                  1.021,                0.82802,                0.92942,                 0.8635,                0.63509,                 1.1409,                0.65576,                 1.3709,             0.00056086,             0.00056086,             0.00056086
                     36,                 0.8272,                0.54214,                 1.0062,                0.81543,                0.95258,                0.85182,                0.62715,                 1.1383,                0.63625,                 1.3759,             0.00055261,             0.00055261,             0.00055261
                     37,                0.81193,                0.53263,                 0.9969,                0.80831,                0.93554,                0.85488,                 0.6293,                 1.1204,                0.65181,                 1.3577,             0.00054437,             0.00054437,             0.00054437
                     38,                0.81221,                0.53325,                 1.0089,                 0.8357,                0.92033,                0.84141,                0.62016,                 1.1147,                0.64328,                 1.3628,             0.00053612,             0.00053612,             0.00053612
                     39,                0.79982,                0.51532,                0.99908,                0.83193,                0.95458,                 0.8598,                0.63693,                 1.1145,                 0.6025,                 1.3597,             0.00052787,             0.00052787,             0.00052787
                     40,                0.80744,                0.52024,                0.99823,                0.81948,                0.93417,                0.85766,                0.62996,                 1.1401,                0.63871,                 1.3756,             0.00051963,             0.00051963,             0.00051963
                     41,                0.79547,                0.50644,                0.99653,                0.78415,                0.94091,                0.85003,                0.62743,                  1.116,                0.62276,                 1.3811,             0.00051138,             0.00051138,             0.00051138
                     42,                0.77313,                0.49689,                0.98228,                0.80542,                 0.8777,                0.85045,                0.62935,                 1.1094,                0.64219,                 1.3672,             0.00050313,             0.00050313,             0.00050313
                     43,                 0.7769,                0.49997,                0.99307,                0.82537,                0.94046,                0.87091,                0.64628,                 1.1203,                0.62271,                 1.3793,             0.00049489,             0.00049489,             0.00049489
                     44,                0.75797,                0.49532,                0.98237,                0.83089,                0.93938,                 0.8535,                0.63421,                 1.0951,                0.62152,                 1.3641,             0.00048664,             0.00048664,             0.00048664
                     45,                 0.7834,                0.50523,                0.98779,                 0.7954,                0.93039,                 0.8451,                0.63163,                 1.1292,                0.63486,                 1.3826,             0.00047839,             0.00047839,             0.00047839
                     46,                0.77402,                0.49342,                 0.9862,                0.82387,                0.93817,                 0.8585,                0.63959,                 1.1283,                 0.6274,                  1.388,             0.00047015,             0.00047015,             0.00047015
                     47,                0.77212,                 0.4994,                0.98539,                0.81872,                0.93549,                0.84919,                0.63632,                 1.1061,                0.62471,                 1.3749,              0.0004619,              0.0004619,              0.0004619
                     48,                0.74234,                0.48623,                0.96966,                0.82537,                0.94273,                0.84961,                0.63972,                 1.1059,                0.62458,                 1.3736,             0.00045365,             0.00045365,             0.00045365
                     49,                0.75107,                0.49007,                0.98349,                0.80908,                 0.9286,                0.84962,                0.63985,                 1.1176,                0.67721,                 1.3753,             0.00044541,             0.00044541,             0.00044541
                     50,                0.74864,                0.47846,                0.97323,                0.81665,                0.92328,                0.84933,                0.63412,                 1.1244,                 0.6443,                 1.3895,             0.00043716,             0.00043716,             0.00043716
                     51,                0.73181,                0.47296,                0.96511,                0.83594,                0.93375,                0.85835,                0.64373,                 1.1045,                0.61945,                 1.3695,             0.00042891,             0.00042891,             0.00042891
                     52,                0.73038,                0.48721,                0.97159,                0.81138,                0.91001,                0.83855,                0.62406,                 1.1403,                0.65707,                  1.396,             0.00042066,             0.00042066,             0.00042066
                     53,                0.74623,                0.48607,                0.97189,                0.80718,                0.90437,                 0.8445,                0.62955,                   1.12,                0.63573,                 1.3917,             0.00041242,             0.00041242,             0.00041242
                     54,                0.72432,                0.47579,                0.96863,                0.81094,                0.93607,                0.85253,                0.63479,                 1.1276,                0.62063,                 1.4024,             0.00040417,             0.00040417,             0.00040417
                     55,                0.71297,                0.47046,                0.96748,                0.78341,                0.90351,                0.84738,                0.63349,                 1.1114,                0.73051,                 1.3804,             0.00039592,             0.00039592,             0.00039592
                     56,                0.71775,                0.47211,                0.96672,                 0.8068,                0.94208,                0.85383,                0.64204,                 1.1081,                0.61118,                 1.3966,             0.00038768,             0.00038768,             0.00038768
                     57,                0.72197,                 0.4627,                0.96549,                0.82102,                 0.9137,                0.85337,                0.64556,                 1.1229,                0.61739,                 1.4023,             0.00037943,             0.00037943,             0.00037943
                     58,                0.70023,                0.45883,                0.95777,                0.79605,                0.95308,                0.85282,                0.63762,                 1.1003,                0.63215,                 1.3818,             0.00037118,             0.00037118,             0.00037118
                     59,                0.70988,                0.46258,                0.95543,                0.80891,                0.91654,                0.85203,                0.64125,                 1.1064,                0.66783,                 1.4048,             0.00036294,             0.00036294,             0.00036294
                     60,                0.68282,                 0.4551,                0.95004,                0.81212,                0.94209,                0.85731,                0.63694,                 1.1288,                0.63355,                 1.4143,             0.00035469,             0.00035469,             0.00035469
                     61,                0.67458,                0.45128,                0.94509,                0.80851,                0.95358,                0.85884,                0.63148,                 1.1189,                0.63648,                 1.4202,             0.00034644,             0.00034644,             0.00034644
                     62,                0.68378,                0.45214,                0.94788,                0.82098,                0.93896,                0.85466,                0.63813,                 1.1222,                0.64747,                 1.4096,              0.0003382,              0.0003382,              0.0003382
                     63,                0.67286,                0.43477,                0.94664,                0.79813,                0.92868,                0.84999,                0.64227,                 1.1233,                0.66446,                 1.4198,             0.00032995,             0.00032995,             0.00032995
                     64,                0.68473,                0.45155,                0.95139,                0.83003,                0.92335,                0.84884,                0.63785,                 1.1234,                0.65803,                 1.4073,              0.0003217,              0.0003217,              0.0003217
                     65,                0.67266,                0.43514,                0.94046,                0.81137,                0.92777,                0.84605,                0.63483,                 1.1084,                0.65661,                 1.3952,             0.00031346,             0.00031346,             0.00031346
                     66,                0.67952,                 0.4456,                0.94304,                0.80089,                0.91482,                0.84469,                0.63404,                 1.1075,                0.65258,                 1.4005,             0.00030521,             0.00030521,             0.00030521
