                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74208,                0.50793,                 0.9449,                0.81435,                0.94377,                0.85629,                0.64575,                 1.0833,                0.66201,                 1.2758,             0.00027326,             0.00027326,             0.00027326
                      2,                 0.7622,                0.51199,                0.95343,                 0.8058,                0.93018,                0.85114,                0.63487,                 1.1046,                0.68511,                 1.2785,              0.0005482,              0.0005482,              0.0005482
                      3,                0.78869,                0.54311,                0.96856,                0.80906,                0.90615,                 0.8422,                0.61546,                 1.1408,                0.72786,                  1.299,             0.00082039,             0.00082039,             0.00082039
                      4,                0.82774,                0.56617,                0.98328,                0.79098,                0.92106,                0.85381,                0.62412,                 1.1196,                 0.6852,                 1.2819,             0.00082063,             0.00082063,             0.00082063
                      5,                0.81809,                0.55317,                0.97796,                0.80968,                0.93132,                0.85203,                0.62669,                 1.1271,                0.67408,                 1.2911,             0.00082063,             0.00082063,             0.00082063
                      6,                0.82815,                0.54636,                0.98038,                0.82909,                0.92823,                0.85389,                 0.6279,                 1.0977,                0.66766,                 1.2756,             0.00081651,             0.00081651,             0.00081651
                      7,                0.82171,                0.55839,                0.98001,                0.80448,                0.94767,                0.85301,                0.62557,                 1.1252,                0.66506,                 1.2868,             0.00081238,             0.00081238,             0.00081238
                      8,                0.81311,                0.55815,                0.97666,                0.79698,                0.95429,                0.84947,                0.63396,                 1.1058,                0.67724,                 1.2756,             0.00080826,             0.00080826,             0.00080826
                      9,                0.82035,                0.55138,                0.97456,                0.80478,                0.95024,                0.84474,                0.62083,                 1.1437,                0.68453,                 1.3154,             0.00080414,             0.00080414,             0.00080414
                     10,                0.81862,                 0.5477,                0.96706,                0.81732,                0.93177,                0.84705,                0.62134,                 1.1362,                0.70206,                    1.3,             0.00080001,             0.00080001,             0.00080001
                     11,                0.80976,                0.54866,                0.98488,                0.82299,                0.94769,                0.86164,                0.63814,                 1.0988,                 0.6511,                 1.2822,             0.00079589,             0.00079589,             0.00079589
                     12,                0.79889,                0.53168,                0.96936,                0.83057,                0.93419,                 0.8573,                0.63716,                 1.1187,                0.67126,                 1.2937,             0.00079177,             0.00079177,             0.00079177
                     13,                0.79111,                0.53306,                0.97002,                0.81442,                0.94411,                0.84847,                0.62901,                 1.1114,                0.66425,                 1.2922,             0.00078764,             0.00078764,             0.00078764
                     14,                0.80503,                0.54777,                0.97632,                0.81114,                0.92817,                0.86076,                0.62876,                 1.1196,                 0.6982,                 1.3088,             0.00078352,             0.00078352,             0.00078352
                     15,                0.80108,                 0.5241,                0.96667,                0.78582,                 0.9561,                0.85855,                0.62515,                 1.1264,                0.67421,                 1.3167,              0.0007794,              0.0007794,              0.0007794
                     16,                0.79186,                0.53922,                 0.9682,                0.82589,                0.93081,                0.86171,                0.64294,                  1.117,                 0.6851,                 1.2982,             0.00077527,             0.00077527,             0.00077527
                     17,                0.79361,                0.52596,                0.97179,                0.81478,                0.90106,                 0.8505,                0.63095,                 1.1436,                0.65926,                 1.3216,             0.00077115,             0.00077115,             0.00077115
                     18,                0.77427,                0.51337,                 0.9605,                0.80914,                0.91962,                 0.8588,                0.64447,                 1.1081,                0.68121,                 1.2947,             0.00076703,             0.00076703,             0.00076703
