                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5343,                 3.5508,                 1.3275,                 0.7451,                0.74359,                0.80606,                0.52465,                 1.3068,                 1.5304,                 1.2757,             0.00027326,             0.00027326,             0.00027326
                      2,                 1.3087,                 1.2095,                 1.2194,                0.74771,                0.86958,                0.80756,                0.50988,                 1.3034,                 1.0607,                 1.3338,             0.00054547,             0.00054547,             0.00054547
                      3,                 1.2461,                  1.009,                 1.1858,                0.70732,                0.87423,                0.84801,                0.55881,                 1.2341,                 1.0327,                 1.2948,             0.00081219,             0.00081219,             0.00081219
                      4,                 1.1955,                0.92851,                 1.1676,                0.83611,                0.85315,                 0.8369,                0.55446,                 1.2385,                0.90054,                  1.301,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.1719,                0.87748,                 1.1414,                 0.8221,                0.91312,                0.85311,                0.59626,                 1.1966,                0.84211,                 1.2532,             0.00080826,             0.00080826,             0.00080826
                      6,                 1.1464,                 0.8239,                 1.1304,                0.79339,                0.93314,                0.84478,                0.57374,                 1.2247,                0.80144,                  1.282,             0.00080001,             0.00080001,             0.00080001
                      7,                 1.1302,                0.81102,                 1.1203,                0.78217,                0.90647,                0.86063,                0.61295,                 1.1453,                0.81847,                 1.2502,             0.00079177,             0.00079177,             0.00079177
                      8,                 1.1095,                 0.7922,                 1.1151,                0.80401,                0.92409,                0.87354,                0.61279,                 1.1446,                0.75343,                 1.2279,             0.00078352,             0.00078352,             0.00078352
                      9,                 1.0801,                0.74028,                 1.0927,                0.80316,                0.93942,                 0.8633,                0.61076,                 1.1748,                0.73784,                 1.2592,             0.00077527,             0.00077527,             0.00077527
                     10,                 1.0863,                0.74486,                 1.0859,                0.83152,                0.91851,                0.87044,                0.62028,                 1.1398,                0.73621,                 1.2544,             0.00076703,             0.00076703,             0.00076703
                     11,                 1.0508,                0.73259,                 1.0943,                0.79681,                 0.9547,                0.85313,                0.61436,                 1.1412,                0.71685,                 1.2558,             0.00075878,             0.00075878,             0.00075878
                     12,                  1.036,                0.70781,                 1.0713,                 0.8312,                0.93458,                0.87073,                0.62145,                   1.16,                0.70286,                 1.2324,             0.00075053,             0.00075053,             0.00075053
                     13,                 1.0357,                0.72175,                 1.0822,                0.82698,                0.93733,                0.85178,                0.60767,                  1.137,                0.71331,                 1.2616,             0.00074229,             0.00074229,             0.00074229
                     14,                 1.0313,                0.69927,                 1.0723,                0.82986,                0.94044,                0.86939,                0.62992,                 1.1418,                0.70633,                 1.2406,             0.00073404,             0.00073404,             0.00073404
                     15,                 1.0112,                0.66408,                 1.0537,                0.80991,                0.94739,                0.86292,                0.61742,                 1.1267,                0.69746,                 1.2425,             0.00072579,             0.00072579,             0.00072579
                     16,                 1.0146,                0.67605,                 1.0622,                0.80118,                0.91653,                0.87244,                0.62634,                 1.1377,                0.71052,                 1.2669,             0.00071755,             0.00071755,             0.00071755
                     17,                0.99303,                0.65969,                 1.0598,                0.86122,                  0.918,                0.86392,                0.62478,                 1.1308,                0.70033,                 1.2428,              0.0007093,              0.0007093,              0.0007093
                     18,                0.97882,                0.65021,                 1.0475,                0.81843,                0.93714,                0.87028,                0.64103,                 1.1262,                0.68408,                 1.2537,             0.00070105,             0.00070105,             0.00070105
                     19,                0.96487,                  0.645,                   1.04,                0.83232,                0.94398,                0.85957,                0.62123,                 1.1362,                0.68819,                 1.2347,             0.00069281,             0.00069281,             0.00069281
                     20,                0.95766,                0.62456,                 1.0324,                0.80299,                0.93771,                0.85684,                0.62732,                 1.1269,                0.69185,                 1.2649,             0.00068456,             0.00068456,             0.00068456
                     21,                0.96294,                0.65244,                 1.0341,                0.83059,                0.94679,                0.86077,                0.63494,                 1.1295,                0.65757,                 1.2494,             0.00067631,             0.00067631,             0.00067631
                     22,                0.95041,                0.63522,                 1.0343,                0.82321,                 0.9601,                0.86379,                0.61842,                 1.1178,                0.66308,                 1.2564,             0.00066807,             0.00066807,             0.00066807
                     23,                0.95139,                0.62226,                 1.0366,                0.82288,                0.92286,                0.87022,                0.64215,                 1.1394,                0.68682,                 1.2557,             0.00065982,             0.00065982,             0.00065982
