                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.79586,                0.48117,                  1.005,                0.94375,                0.72138,                0.75283,                0.56553,                 1.1818,                0.61521,                 1.4276,             0.00056086,             0.00056086,             0.00056086
                     36,                0.78043,                0.47325,                  1.004,                 0.8176,                0.68926,                0.75935,                0.57313,                 1.2124,                 0.6469,                 1.4568,             0.00055261,             0.00055261,             0.00055261
                     37,                0.77165,                0.44895,                 1.0124,                0.91845,                0.69794,                0.72556,                0.54291,                 1.2003,                 0.6167,                 1.4377,             0.00054437,             0.00054437,             0.00054437
                     38,                0.76654,                0.46564,                 1.0053,                0.91968,                0.69474,                0.73359,                0.54092,                  1.196,                0.62542,                 1.4489,             0.00053612,             0.00053612,             0.00053612
                     39,                0.75228,                0.42415,                0.99176,                0.94253,                0.69953,                0.74298,                0.53865,                 1.2138,                0.60355,                 1.4676,             0.00052787,             0.00052787,             0.00052787
                     40,                0.75174,                0.42719,                0.98045,                0.79831,                0.71575,                0.73956,                0.53083,                 1.2236,                0.61769,                 1.4868,             0.00051963,             0.00051963,             0.00051963
                     41,                0.73961,                0.42141,                0.97853,                0.93382,                0.72681,                0.74588,                0.55484,                 1.1763,                0.60706,                 1.4599,             0.00051138,             0.00051138,             0.00051138
                     42,                0.76759,                0.43628,                 1.0047,                0.92873,                 0.7217,                0.74831,                0.55978,                 1.1676,                0.58855,                 1.4446,             0.00050313,             0.00050313,             0.00050313
                     43,                0.73036,                 0.4195,                0.97459,                0.93396,                0.71787,                0.74392,                0.54518,                 1.1888,                0.58947,                  1.458,             0.00049489,             0.00049489,             0.00049489
                     44,                 0.7489,                0.42575,                  1.003,                0.92523,                0.70963,                0.73404,                0.54487,                 1.1925,                0.60671,                 1.4591,             0.00048664,             0.00048664,             0.00048664
