                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68791,                0.42525,                0.96354,                0.94371,                0.70789,                0.72716,                0.54255,                 1.1883,                0.69285,                  1.442,             0.00024157,             0.00024157,             0.00024157
                      2,                0.73467,                0.45448,                0.96485,                0.72499,                0.75758,                 0.7758,                0.55156,                 1.2227,                0.65956,                  1.489,              0.0004866,              0.0004866,              0.0004866
                      3,                 0.7576,                0.46903,                0.98913,                0.68116,                0.76938,                0.73448,                 0.5323,                 1.2054,                0.67868,                 1.4541,             0.00072669,             0.00072669,             0.00072669
                      4,                0.77908,                0.50871,                0.99268,                0.81761,                0.68998,                0.71524,                0.52056,                 1.2061,                0.74565,                 1.4868,             0.00080826,             0.00080826,             0.00080826
                      5,                0.78652,                0.49946,                 1.0094,                0.79898,                0.69721,                0.71043,                0.50591,                 1.2653,                0.72662,                 1.4837,             0.00080826,             0.00080826,             0.00080826
                      6,                0.82062,                0.51698,                 1.0226,                0.81848,                0.70593,                0.72052,                0.49152,                 1.2097,                0.70151,                 1.4395,             0.00080001,             0.00080001,             0.00080001
                      7,                0.81148,                0.50534,                 1.0028,                 0.8742,                0.67107,                0.72226,                0.50216,                 1.2062,                0.71681,                 1.4609,             0.00079177,             0.00079177,             0.00079177
                      8,                0.78288,                0.50855,                 1.0025,                0.77415,                0.73433,                0.70848,                0.50673,                  1.233,                0.72607,                 1.4926,             0.00078352,             0.00078352,             0.00078352
                      9,                0.80749,                0.49929,                 1.0207,                0.91901,                0.66465,                0.70758,                0.50888,                 1.2378,                 0.7585,                 1.5133,             0.00077527,             0.00077527,             0.00077527
                     10,                0.78596,                0.49814,                 1.0106,                0.93173,                0.66669,                0.72312,                0.51135,                 1.2213,                0.71745,                 1.4876,             0.00076703,             0.00076703,             0.00076703
                     11,                0.77542,                0.48087,                0.99021,                0.79431,                0.68822,                0.71391,                0.49882,                 1.3418,                0.75345,                  1.608,             0.00075878,             0.00075878,             0.00075878
                     12,                0.78979,                0.49368,                0.99444,                0.79713,                0.72007,                0.74057,                0.53533,                 1.2609,                0.69222,                 1.5332,             0.00075053,             0.00075053,             0.00075053
                     13,                0.82178,                0.50451,                 1.0098,                0.93977,                0.70058,                 0.7111,                 0.5171,                 1.2579,                0.71154,                 1.5198,             0.00074229,             0.00074229,             0.00074229
                     14,                0.77965,                0.48603,                0.99226,                0.81337,                0.69682,                0.71193,                0.51206,                 1.2339,                0.71266,                 1.4794,             0.00073404,             0.00073404,             0.00073404
                     15,                0.79025,                0.48011,                0.99173,                0.92998,                0.70686,                0.71994,                  0.507,                 1.2415,                0.67382,                 1.4875,             0.00072579,             0.00072579,             0.00072579
                     16,                0.76306,                0.46678,                0.99873,                0.81155,                0.70096,                0.74157,                0.54901,                 1.1762,                0.68829,                 1.4503,             0.00071755,             0.00071755,             0.00071755
                     17,                0.76575,                0.46221,                0.99494,                0.93239,                0.69755,                 0.7318,                0.53671,                 1.2005,                0.66258,                 1.4532,              0.0007093,              0.0007093,              0.0007093
                     18,                0.75923,                0.46005,                0.97409,                0.92467,                0.70101,                0.71574,                0.51699,                 1.2133,                0.64058,                  1.479,             0.00070105,             0.00070105,             0.00070105
                     19,                0.73515,                0.43906,                0.98246,                0.93014,                0.71238,                0.71377,                0.50933,                 1.2199,                 0.6799,                 1.4763,             0.00069281,             0.00069281,             0.00069281
                     20,                0.71542,                0.44482,                0.95548,                0.66933,                0.71639,                0.73523,                0.53038,                 1.2268,                0.65464,                 1.4853,             0.00068456,             0.00068456,             0.00068456
                     21,                0.73149,                0.44416,                0.97769,                 0.9358,                0.71596,                0.73129,                0.52321,                 1.2358,                0.69621,                 1.5008,             0.00067631,             0.00067631,             0.00067631
                     22,                0.73762,                0.44672,                0.97523,                0.65659,                0.82077,                0.73831,                0.51677,                 1.2416,                0.69748,                 1.4984,             0.00066807,             0.00066807,             0.00066807
                     23,                0.73593,                0.44662,                0.97028,                0.93514,                 0.7256,                0.73287,                0.52652,                 1.2646,                0.65938,                 1.5645,             0.00065982,             0.00065982,             0.00065982
                     24,                0.70357,                0.44249,                0.97195,                0.93396,                0.69544,                0.73648,                0.53228,                 1.2104,                0.63042,                 1.4799,             0.00065157,             0.00065157,             0.00065157
                     25,                0.69649,                0.43675,                0.95892,                0.82035,                0.72014,                0.74541,                0.53091,                 1.2242,                0.65027,                 1.5145,             0.00064333,             0.00064333,             0.00064333
                     26,                0.67279,                0.40956,                0.94975,                0.93517,                0.69301,                0.72883,                0.52998,                 1.2173,                0.65129,                 1.5065,             0.00063508,             0.00063508,             0.00063508
                     27,                0.71398,                0.42115,                0.96434,                0.92959,                  0.729,                0.73429,                0.52146,                 1.2155,                 0.6562,                 1.5231,             0.00062683,             0.00062683,             0.00062683
                     28,                0.70342,                 0.4403,                0.96142,                  0.947,                0.70397,                0.73548,                0.54738,                 1.1849,                0.63886,                 1.4997,             0.00061859,             0.00061859,             0.00061859
                     29,                0.69997,                0.42441,                0.97153,                0.92424,                0.71447,                0.73049,                0.53764,                 1.1754,                 0.6377,                 1.4759,             0.00061034,             0.00061034,             0.00061034
                     30,                0.71057,                0.41564,                0.96728,                  0.948,                0.70991,                0.73897,                0.53575,                 1.1828,                0.61742,                 1.4629,             0.00060209,             0.00060209,             0.00060209
                     31,                0.67854,                0.41338,                0.95047,                0.94762,                0.71512,                0.74716,                0.54863,                 1.1795,                0.60658,                 1.4736,             0.00059385,             0.00059385,             0.00059385
                     32,                0.65988,                0.41065,                0.95195,                0.79137,                0.75363,                0.74929,                0.54347,                 1.2279,                0.64679,                 1.4946,              0.0005856,              0.0005856,              0.0005856
                     33,                0.67704,                 0.4214,                 0.9573,                0.67351,                0.81969,                0.75196,                0.55402,                 1.2114,                0.64144,                 1.5018,             0.00057735,             0.00057735,             0.00057735
                     34,                0.67435,                0.40974,                0.94389,                0.93866,                0.69787,                 0.7386,                0.53199,                  1.194,                0.66545,                 1.4978,             0.00056911,             0.00056911,             0.00056911
                     35,                0.67199,                0.40903,                0.94622,                0.68217,                0.71513,                0.74443,                0.54571,                 1.2071,                0.66069,                 1.4753,             0.00056086,             0.00056086,             0.00056086
                     36,                0.64846,                0.40124,                0.94048,                0.67142,                0.79241,                0.74844,                0.55207,                 1.2508,                0.64265,                 1.5223,             0.00055261,             0.00055261,             0.00055261
                     37,                0.64636,                 0.3871,                0.95022,                0.81859,                0.71368,                0.74261,                0.54514,                 1.2224,                0.64138,                 1.4973,             0.00054437,             0.00054437,             0.00054437
                     38,                0.65051,                0.39536,                0.94484,                0.81934,                0.70327,                0.74764,                0.54089,                 1.2192,                0.66508,                 1.5055,             0.00053612,             0.00053612,             0.00053612
                     39,                0.64935,                0.37424,                0.93803,                0.93714,                0.71015,                0.74145,                0.53902,                 1.2272,                 0.6653,                 1.5101,             0.00052787,             0.00052787,             0.00052787
                     40,                0.65869,                0.38715,                0.93546,                0.80851,                0.71307,                 0.7371,                0.54809,                 1.2466,                0.63702,                 1.5472,             0.00051963,             0.00051963,             0.00051963
                     41,                0.65655,                0.39748,                0.94237,                0.88429,                0.75713,                0.77836,                0.56781,                 1.2444,                0.61931,                 1.5459,             0.00051138,             0.00051138,             0.00051138
                     42,                0.65647,                 0.3864,                0.95024,                0.93701,                0.70356,                0.76981,                 0.5589,                 1.2543,                0.60137,                 1.5447,             0.00050313,             0.00050313,             0.00050313
                     43,                0.64562,                0.38206,                0.93889,                0.66998,                0.76598,                0.74377,                0.54224,                 1.2493,                0.62737,                 1.5359,             0.00049489,             0.00049489,             0.00049489
