                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8327,                0.54352,                  1.008,                0.83314,                0.94798,                0.86394,                0.64463,                 1.1082,                0.60764,                 1.3568,             0.00027326,             0.00027326,             0.00027326
                      2,                0.85676,                0.54108,                 1.0249,                0.81445,                0.95096,                0.86446,                0.63101,                 1.1382,                0.62329,                 1.3752,             0.00054547,             0.00054547,             0.00054547
                      3,                0.87272,                0.57687,                 1.0369,                 0.8255,                0.92325,                0.86324,                0.61002,                 1.1761,                0.68176,                  1.394,             0.00081219,             0.00081219,             0.00081219
                      4,                0.88714,                0.58545,                 1.0431,                0.81712,                 0.9533,                0.85719,                 0.6266,                   1.14,                0.62961,                  1.375,             0.00080826,             0.00080826,             0.00080826
                      5,                 0.8757,                0.58213,                  1.034,                 0.8274,                0.94603,                0.86103,                 0.6192,                 1.1413,                 0.6309,                 1.3691,             0.00080826,             0.00080826,             0.00080826
                      6,                0.87379,                0.56675,                 1.0347,                0.81296,                 0.9316,                0.86285,                0.61989,                 1.1449,                0.65685,                 1.3721,             0.00080001,             0.00080001,             0.00080001
                      7,                0.87358,                0.57755,                 1.0326,                0.81331,                0.92895,                0.85903,                0.61922,                 1.1587,                0.65566,                 1.3732,             0.00079177,             0.00079177,             0.00079177
                      8,                0.85665,                0.56636,                 1.0257,                0.80265,                0.94252,                0.85819,                0.61888,                 1.1381,                 0.6796,                 1.3771,             0.00078352,             0.00078352,             0.00078352
                      9,                0.84313,                0.55488,                 1.0146,                0.77514,                 0.9332,                0.85082,                0.61449,                 1.1468,                   0.63,                   1.37,             0.00077527,             0.00077527,             0.00077527
                     10,                0.84969,                0.55617,                 1.0138,                0.82706,                0.93965,                 0.8679,                0.64018,                 1.1281,                0.65458,                 1.3616,             0.00076703,             0.00076703,             0.00076703
                     11,                0.84979,                0.55656,                 1.0324,                  0.781,                0.94105,                0.84433,                0.61953,                 1.1329,                 0.6259,                 1.3663,             0.00075878,             0.00075878,             0.00075878
                     12,                0.82896,                0.54092,                 1.0112,                0.79914,                0.89212,                0.85721,                0.62292,                 1.1461,                0.63583,                 1.3761,             0.00075053,             0.00075053,             0.00075053
                     13,                0.81468,                0.54555,                 1.0132,                0.80695,                0.95057,                 0.8531,                0.62537,                 1.1461,                 0.6406,                  1.391,             0.00074229,             0.00074229,             0.00074229
                     14,                0.82277,                0.54364,                 1.0083,                0.82939,                0.94497,                0.86805,                0.62746,                 1.1428,                0.64135,                 1.3903,             0.00073404,             0.00073404,             0.00073404
                     15,                0.82558,                0.51903,                 1.0012,                0.79371,                0.92655,                0.84923,                0.61303,                 1.1248,                0.66392,                 1.3762,             0.00072579,             0.00072579,             0.00072579
                     16,                0.82773,                0.53384,                 1.0092,                 0.8087,                0.93091,                0.85633,                0.63451,                 1.1319,                0.63338,                   1.39,             0.00071755,             0.00071755,             0.00071755
                     17,                0.80635,                0.51661,                 1.0076,                0.83436,                0.94243,                0.85611,                0.63463,                 1.1132,                0.62077,                 1.3827,              0.0007093,              0.0007093,              0.0007093
                     18,                 0.7781,                0.51482,                0.98882,                0.82678,                0.94174,                0.85542,                0.63456,                 1.1362,                0.64036,                 1.3826,             0.00070105,             0.00070105,             0.00070105
                     19,                 0.7775,                0.52008,                 0.9921,                0.81042,                0.92578,                0.84766,                0.62721,                  1.119,                0.64398,                 1.3748,             0.00069281,             0.00069281,             0.00069281
                     20,                0.78582,                0.49935,                0.99073,                0.80749,                0.93706,                0.85324,                0.63373,                 1.1258,                0.60768,                 1.3928,             0.00068456,             0.00068456,             0.00068456
                     21,                0.78679,                0.52109,                0.98593,                0.81874,                0.94403,                0.85288,                0.62224,                 1.1371,                0.63069,                 1.3842,             0.00067631,             0.00067631,             0.00067631
                     22,                0.77757,                0.51644,                0.98759,                0.79446,                0.92463,                0.84486,                0.62464,                 1.1351,                0.66049,                 1.4143,             0.00066807,             0.00066807,             0.00066807
                     23,                0.76405,                0.49617,                0.99007,                0.81632,                0.93566,                0.85046,                0.63381,                 1.1466,                0.62929,                 1.4007,             0.00065982,             0.00065982,             0.00065982
                     24,                0.77264,                0.50682,                0.99021,                0.79995,                0.93531,                0.84616,                 0.6284,                 1.1515,                 0.6531,                 1.3899,             0.00065157,             0.00065157,             0.00065157
                     25,                0.77499,                0.50257,                0.97744,                0.81333,                  0.924,                0.84844,                0.63318,                 1.1555,                0.65013,                 1.4065,             0.00064333,             0.00064333,             0.00064333
                     26,                 0.7494,                0.49026,                0.96948,                0.81393,                0.89777,                0.84976,                0.62634,                 1.1329,                0.66199,                 1.4158,             0.00063508,             0.00063508,             0.00063508
                     27,                0.74732,                0.49573,                0.96944,                0.79876,                0.92973,                0.85001,                0.63379,                 1.1416,                0.65465,                 1.4056,             0.00062683,             0.00062683,             0.00062683
                     28,                0.74057,                0.48424,                0.96458,                0.82208,                0.94359,                0.85707,                  0.645,                 1.1225,                0.64104,                 1.3889,             0.00061859,             0.00061859,             0.00061859
                     29,                0.77549,                 0.4964,                0.98461,                0.82234,                0.93681,                0.84903,                 0.6293,                 1.1119,                   0.63,                 1.3656,             0.00061034,             0.00061034,             0.00061034
                     30,                0.75777,                0.49974,                0.97762,                 0.8352,                0.94898,                0.85088,                0.63133,                 1.1284,                0.61357,                 1.3812,             0.00060209,             0.00060209,             0.00060209
                     31,                0.75332,                0.48375,                0.97821,                0.83855,                0.92514,                0.86345,                0.63869,                 1.1592,                0.62674,                 1.4238,             0.00059385,             0.00059385,             0.00059385
                     32,                0.73781,                0.48521,                0.96969,                0.83015,                0.95239,                0.85842,                0.64389,                 1.1315,                0.61421,                 1.4096,              0.0005856,              0.0005856,              0.0005856
                     33,                0.73296,                0.48163,                 0.9787,                0.80364,                 0.9367,                0.84809,                0.62121,                 1.1544,                 0.6585,                 1.4123,             0.00057735,             0.00057735,             0.00057735
                     34,                0.75163,                0.48126,                 0.9797,                0.82369,                0.92799,                0.85045,                0.63033,                 1.1422,                 0.6224,                 1.4067,             0.00056911,             0.00056911,             0.00056911
                     35,                0.74579,                0.49045,                0.98173,                0.80258,                0.91945,                0.84699,                0.63313,                 1.1492,                0.70945,                 1.4045,             0.00056086,             0.00056086,             0.00056086
                     36,                0.74489,                0.48364,                0.96993,                 0.8101,                0.92107,                0.85869,                0.63838,                 1.1485,                0.63795,                 1.4187,             0.00055261,             0.00055261,             0.00055261
                     37,                0.73065,                0.48141,                0.96402,                0.79221,                0.92994,                0.84969,                0.62948,                 1.1415,                0.67932,                  1.426,             0.00054437,             0.00054437,             0.00054437
                     38,                0.73612,                0.48323,                0.97402,                0.80758,                0.91624,                 0.8482,                0.63082,                 1.1264,                0.64635,                 1.4105,             0.00053612,             0.00053612,             0.00053612
                     39,                 0.7241,                0.46969,                0.96406,                0.81963,                0.91886,                0.85622,                0.63529,                 1.1263,                0.63362,                  1.405,             0.00052787,             0.00052787,             0.00052787
                     40,                 0.7238,                0.46743,                0.96199,                0.81907,                0.92409,                0.85452,                0.63258,                 1.1353,                0.63958,                 1.4303,             0.00051963,             0.00051963,             0.00051963
                     41,                0.71817,                 0.4608,                 0.9593,                0.81741,                 0.9267,                0.85641,                0.63641,                 1.1391,                0.63949,                 1.4327,             0.00051138,             0.00051138,             0.00051138
                     42,                0.69675,                 0.4473,                0.95056,                0.82551,                0.90162,                0.85114,                0.62958,                 1.1461,                0.66115,                 1.4286,             0.00050313,             0.00050313,             0.00050313
                     43,                0.71313,                 0.4554,                0.96267,                0.81447,                0.90479,                0.84387,                0.63283,                 1.1286,                0.67205,                 1.4271,             0.00049489,             0.00049489,             0.00049489
                     44,                0.68528,                0.44864,                0.95508,                0.80381,                0.90626,                0.84809,                0.63523,                 1.1012,                0.66819,                 1.4005,             0.00048664,             0.00048664,             0.00048664
                     45,                0.71129,                 0.4545,                0.96011,                0.79024,                0.87491,                0.83274,                0.62547,                 1.1242,                0.67772,                 1.4208,             0.00047839,             0.00047839,             0.00047839
                     46,                0.69708,                0.44986,                0.95497,                0.81006,                0.93251,                0.84824,                0.64176,                  1.108,                0.64809,                 1.4042,             0.00047015,             0.00047015,             0.00047015
                     47,                0.69918,                0.45638,                 0.9548,                0.81059,                0.92815,                0.84547,                0.64284,                 1.0995,                0.65649,                  1.407,              0.0004619,              0.0004619,              0.0004619
                     48,                0.68009,                0.44607,                0.94258,                0.82037,                 0.9173,                0.85303,                0.63766,                 1.1088,                0.66132,                 1.4202,             0.00045365,             0.00045365,             0.00045365
                     49,                0.68397,                0.44887,                0.95666,                0.79678,                0.89382,                0.83518,                0.62883,                 1.1214,                0.68281,                  1.415,             0.00044541,             0.00044541,             0.00044541
                     50,                0.68603,                0.43883,                0.94594,                0.80362,                0.91097,                0.83879,                0.62879,                 1.1189,                0.67225,                 1.4145,             0.00043716,             0.00043716,             0.00043716
                     51,                0.67222,                0.43339,                0.94249,                  0.811,                0.89779,                0.84955,                0.63393,                 1.1172,                0.69049,                   1.42,             0.00042891,             0.00042891,             0.00042891
