                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70958,                0.48346,                 0.9609,                0.82542,                 0.9502,                0.85773,                 0.6361,                 1.1038,                0.61171,                 1.3758,             0.00027326,             0.00027326,             0.00027326
                      2,                 0.8564,                  0.548,                 1.0273,                 0.8205,                0.95638,                0.85449,                 0.6104,                 1.1479,                0.65338,                 1.3612,             0.00054547,             0.00054547,             0.00054547
                      3,                0.86726,                0.57664,                 1.0351,                0.83858,                0.93674,                0.86497,                0.61528,                 1.1529,                 0.6814,                 1.3768,             0.00081219,             0.00081219,             0.00081219
                      4,                 0.8862,                0.59186,                 1.0407,                0.79438,                0.93249,                 0.8602,                0.62379,                 1.1282,                0.64591,                 1.3603,             0.00080826,             0.00080826,             0.00080826
                      5,                0.87723,                0.58378,                 1.0396,                0.80574,                0.92989,                0.85003,                0.59006,                 1.2008,                0.67616,                 1.3941,             0.00080826,             0.00080826,             0.00080826
                      6,                0.88477,                0.57421,                 1.0364,                 0.7877,                 0.9146,                 0.8271,                0.59877,                 1.1632,                0.68074,                 1.3821,             0.00080001,             0.00080001,             0.00080001
                      7,                0.87341,                0.58908,                 1.0343,                0.80904,                0.93959,                0.86991,                 0.6333,                 1.1382,                0.67367,                 1.3726,             0.00079177,             0.00079177,             0.00079177
                      8,                0.86117,                0.57313,                 1.0253,                0.76179,                0.93849,                0.84464,                0.60644,                 1.1719,                0.66095,                 1.3955,             0.00078352,             0.00078352,             0.00078352
                      9,                0.84432,                0.55247,                 1.0152,                0.78232,                0.95079,                0.85287,                0.62062,                 1.1526,                0.64289,                 1.3784,             0.00077527,             0.00077527,             0.00077527
                     10,                0.83875,                0.54739,                 1.0073,                0.81127,                0.94803,                0.86077,                   0.63,                 1.1462,                0.66151,                 1.3908,             0.00076703,             0.00076703,             0.00076703
                     11,                0.84466,                0.55373,                 1.0267,                0.83585,                0.93816,                0.85902,                0.62497,                 1.1201,                0.62771,                 1.3732,             0.00075878,             0.00075878,             0.00075878
                     12,                0.82444,                0.54264,                 1.0103,                 0.8085,                0.94553,                0.86041,                0.61824,                 1.1568,                0.63126,                 1.3846,             0.00075053,             0.00075053,             0.00075053
                     13,                0.83144,                0.54896,                 1.0159,                0.81087,                0.95241,                0.87026,                0.63344,                 1.1375,                 0.6441,                 1.3695,             0.00074229,             0.00074229,             0.00074229
                     14,                0.83324,                0.54429,                 1.0097,                0.83412,                0.93455,                0.86157,                0.63272,                 1.1359,                0.63711,                 1.3729,             0.00073404,             0.00073404,             0.00073404
                     15,                0.82088,                0.51941,                0.99729,                0.81025,                0.93877,                0.85319,                0.63048,                 1.1366,                0.64342,                 1.3955,             0.00072579,             0.00072579,             0.00072579
                     16,                0.82446,                0.54293,                  1.005,                0.80899,                0.93558,                0.85639,                0.63869,                 1.1299,                0.64796,                 1.3663,             0.00071755,             0.00071755,             0.00071755
                     17,                  0.792,                0.51405,                 1.0003,                0.82763,                0.94648,                0.85731,                0.64448,                 1.1096,                0.64256,                 1.3815,              0.0007093,              0.0007093,              0.0007093
                     18,                0.78801,                0.51422,                0.98934,                0.80815,                0.93826,                0.85482,                0.63968,                  1.115,                0.64428,                 1.3604,             0.00070105,             0.00070105,             0.00070105
                     19,                0.79658,                0.52426,                0.99834,                0.83875,                0.93407,                0.86061,                0.63176,                 1.1427,                0.65976,                 1.3823,             0.00069281,             0.00069281,             0.00069281
                     20,                0.78413,                0.50303,                0.99075,                0.81785,                 0.9455,                0.85926,                0.62605,                 1.1314,                0.64213,                 1.4129,             0.00068456,             0.00068456,             0.00068456
                     21,                0.79653,                0.52182,                0.98962,                0.82001,                0.94644,                0.85809,                0.64669,                 1.1273,                0.61955,                 1.3716,             0.00067631,             0.00067631,             0.00067631
                     22,                0.77806,                0.50813,                0.98883,                0.80662,                0.94713,                0.86113,                0.63225,                 1.1165,                0.64433,                 1.3942,             0.00066807,             0.00066807,             0.00066807
                     23,                0.77105,                0.49484,                 0.9913,                0.82793,                0.94478,                0.87279,                0.64644,                 1.1359,                0.61567,                  1.398,             0.00065982,             0.00065982,             0.00065982
                     24,                0.77076,                0.50147,                0.99211,                0.83378,                0.91821,                0.85923,                0.64257,                   1.14,                0.64356,                 1.3919,             0.00065157,             0.00065157,             0.00065157
